simulation name, date,DB_name,adaptive_optimizer,decay_epochs,depth,drop_h,drop_i,drop_o,hidden_size,init_bias,init_scale,learning_rate,lr_decay,mask,max_grad_norm,max_max_epoch,num_layers,num_steps,reset_weights_flag,start_time,state_gate,switch_to_asgd,weight_decay,wind_step_size,accuracy_window_1,accuracy_window_2,total_accuracy,corr_window_1,corr_window_2,corr_total,bbox_1,bbox_2
rhn_dep=4__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,100,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5438,0.5295,0.5358,0.0664,0.0459,0.0553,7.604,2.787
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5472,0.5328,0.5391,0.0685,0.0502,0.0583,8.119,2.951
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5462,0.5304,0.5374,0.0686,0.0479,0.0574,7.844,2.753
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__4,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5461,0.5313,0.5378,0.0683,0.0486,0.0576,8.347,3.787
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__5,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5457,0.5299,0.5369,0.0683,0.0470,0.0567,7.938,3.712
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__6,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5465,0.5316,0.5382,0.0677,0.0497,0.0578,8.039,3.354
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__7,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5466,0.5309,0.5378,0.0673,0.0490,0.0574,7.862,3.630
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=400_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,400,0.5438,0.5305,0.5363,0.0661,0.0471,0.0556,7.575,3.052
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=400_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,400,0.5434,0.5304,0.5361,0.0668,0.0483,0.0564,7.285,2.637
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=400_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,400,0.5436,0.5305,0.5363,0.0657,0.0471,0.0555,6.972,2.720
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=400_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,8e-07,400,0.5443,0.5320,0.5374,0.0655,0.0489,0.0562,7.501,2.849
rhn_dep=4__hid_size=150__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,150,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5452,0.5307,0.5371,0.0697,0.0477,0.0576,7.733,3.044
rhn_dep=4__hid_size=150__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,150,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5454,0.5306,0.5372,0.0683,0.0489,0.0579,7.856,3.509
rhn_dep=4__hid_size=150__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,150,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5458,0.5315,0.5378,0.0691,0.0488,0.0581,7.804,3.667
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5473,0.5316,0.5386,0.0706,0.0498,0.0595,7.773,3.021
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5466,0.5316,0.5382,0.0706,0.0517,0.0605,8.187,3.146
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5475,0.5319,0.5388,0.0720,0.0512,0.0608,8.100,3.123
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.3,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,40,1,25,True,4000,True,40,8e-07,100,0.5476,0.5312,0.5385,0.0716,0.0490,0.0593,7.982,3.019
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5468,0.5309,0.5379,0.0699,0.0478,0.0578,7.832,2.956
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5458,0.5308,0.5374,0.0687,0.0493,0.0581,7.897,3.578
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5460,0.5304,0.5373,0.0701,0.0472,0.0576,7.996,3.705
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5469,0.5316,0.5384,0.0697,0.0492,0.0585,7.770,3.735
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__0,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5460,0.5299,0.5370,0.0678,0.0466,0.0562,7.420,3.233
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__1,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5467,0.5308,0.5378,0.0669,0.0484,0.0566,7.767,2.721
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__2,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5466,0.5311,0.5379,0.0682,0.0487,0.0576,8.043,3.700
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__3,2017-12-12,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5455,0.5306,0.5372,0.0671,0.0468,0.0560,7.561,3.351
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-12,CCver5_db,RMSProp,[35],6,0.04,0.1,0.0,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,True,4000,True,35,3e-06,100,0.5449,0.5308,0.5370,0.0625,0.0469,0.0539,7.450,4.105
rhn_dep=6__hid_size=100__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-12,CCver5_db,RMSProp,[35],6,0.04,0.1,0.0,100,-2.5,0.04,0.001,[0.1],0.45,0.25,40,1,25,True,4000,True,35,3e-06,100,0.5456,0.5310,0.5374,0.0640,0.0481,0.0555,7.147,3.218
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__9,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5465,0.5304,0.5375,0.0680,0.0461,0.0561,7.688,3.005
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__10,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5470,0.5301,0.5375,0.0682,0.0473,0.0565,7.621,2.977
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__11,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5451,0.5320,0.5377,0.0677,0.0490,0.0574,7.788,3.462
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_59__wind=100_stg_Rst_Rnd_Srv__8,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.59,0.8,40,1,25,True,4000,True,40,0.0,100,0.5464,0.5311,0.5378,0.0691,0.0489,0.0578,7.908,3.872
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__4,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5465,0.5304,0.5375,0.0699,0.0493,0.0586,7.965,2.823
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__5,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5472,0.5302,0.5377,0.0702,0.0476,0.0579,7.495,2.859
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__6,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5466,0.5315,0.5381,0.0708,0.0488,0.0588,7.829,2.926
rhn_dep=4__hid_size=160__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__7,2017-12-13,CCver5_db,RMSProp,[10152025303540],4,0.35,0.0,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.020717621103300336],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5475,0.5309,0.5382,0.0701,0.0489,0.0585,7.889,2.918
rhn_dep=6__hid_size=170__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-14,CCver5_db,RMSProp,[20],6,0.3,0.1,0.75,170,-2.5,0.07,0.001,[2.0],0.45,0.35,35,1,25,True,4000,True,40,3e-07,100,0.5463,0.5313,0.5379,0.0672,0.0480,0.0572,8.047,3.454
rhn_dep=6__hid_size=170__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-14,CCver5_db,RMSProp,[20],6,0.3,0.1,0.75,170,-2.5,0.07,0.001,[2.0],0.45,0.35,35,1,25,True,4000,True,40,3e-07,100,0.5450,0.5322,0.5378,0.0689,0.0496,0.0588,7.766,3.339
rhn_dep=4__hid_size=170__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__0,2017-12-15,CCver5_db,RMSProp,[20],4,0.3,0.1,0.75,170,-2.5,0.07,0.001,[2.0],0.45,0.35,35,1,25,True,4000,True,40,3e-07,100,0.5461,0.5315,0.5380,0.0692,0.0482,0.0579,8.095,3.130
rhn_dep=4__hid_size=170__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__1,2017-12-15,CCver5_db,RMSProp,[20],4,0.3,0.1,0.75,170,-2.5,0.07,0.001,[2.0],0.45,0.35,35,1,25,True,4000,True,40,3e-07,100,0.5445,0.5320,0.5375,0.0676,0.0488,0.0577,7.857,3.147
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__3,2017-12-17,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5454,0.5306,0.5372,0.0686,0.0495,0.0585,7.604,3.554
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd__4,2017-12-17,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,40,1,25,True,4000,True,40,1e-07,100,0.5474,0.5327,0.5392,0.0704,0.0510,0.0600,8.121,3.815
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__4,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],4,0.35,0.1,0.7,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5460,0.5304,0.5373,0.0681,0.0478,0.0572,8.044,2.385
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__5,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],4,0.35,0.1,0.7,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5482,0.5309,0.5386,0.0697,0.0469,0.0573,7.607,3.538
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__6,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],4,0.35,0.1,0.7,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5470,0.5315,0.5383,0.0694,0.0471,0.0572,7.670,3.356
rhn_dep=4__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__7,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],4,0.35,0.1,0.7,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5478,0.5316,0.5387,0.0697,0.0478,0.0579,7.715,3.365
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__0,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5461,0.5315,0.5380,0.0674,0.0496,0.0578,8.054,3.157
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__12,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.4,0.1,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5476,0.5308,0.5382,0.0690,0.0481,0.0576,7.461,2.819
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__13,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.4,0.1,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5465,0.5305,0.5376,0.0676,0.0474,0.0568,7.635,3.324
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__15,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.4,0.1,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5456,0.5305,0.5371,0.0678,0.0481,0.0571,7.806,3.295
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__0,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,38,1,25,True,4000,True,40,0.0,100,0.5452,0.5308,0.5372,0.0667,0.0482,0.0566,7.798,2.769
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__1,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,38,1,25,True,4000,True,40,0.0,100,0.5472,0.5307,0.5380,0.0678,0.0479,0.0570,7.986,2.653
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__2,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,38,1,25,True,4000,True,40,0.0,100,0.5455,0.5308,0.5373,0.0668,0.0481,0.0567,7.593,3.384
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__3,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.7,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,38,1,25,True,4000,True,40,0.0,100,0.5461,0.5313,0.5378,0.0673,0.0488,0.0573,8.065,2.983
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__4,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.75,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,40,1,25,True,4000,True,35,0.0,100,0.5460,0.5305,0.5374,0.0672,0.0469,0.0563,7.679,2.429
